"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 17 14:53:45 GMT 2024","Thu Oct 17 14:53:46 GMT 2024","679","firefox","product-details.spec.ts","Test product page functionalities and information.","","","Assert if product price matches with the price in inventory list.",""
"passed","Thu Oct 17 14:53:17 GMT 2024","Thu Oct 17 14:53:18 GMT 2024","325","chromium","login.spec.ts","Test application login scenarios","","","Test invalid login scenarios with username empty and password empty",""
"passed","Thu Oct 17 14:53:31 GMT 2024","Thu Oct 17 14:53:32 GMT 2024","1358","firefox","login.spec.ts","Test application login scenarios","","","Login with a valid user and check if the products page is shown correctly.",""
"passed","Thu Oct 17 14:53:24 GMT 2024","Thu Oct 17 14:53:28 GMT 2024","3849","chromium","navigation.spec.ts","Test navigation side menu scenarios.","","","Assert if the 'About' menu option is redirecting to the correct website.",""
"passed","Thu Oct 17 14:53:39 GMT 2024","Thu Oct 17 14:53:41 GMT 2024","1677","firefox","navigation.spec.ts","Test navigation side menu scenarios.","","","Assert if the 'Logout' menu option logs out the user and redirects to login form.",""
"passed","Thu Oct 17 14:53:44 GMT 2024","Thu Oct 17 14:53:45 GMT 2024","615","firefox","product-details.spec.ts","Test product page functionalities and information.","","","Assert if product name matches with the name in inventory list.",""
"passed","Thu Oct 17 14:53:36 GMT 2024","Thu Oct 17 14:53:36 GMT 2024","638","firefox","navigation.spec.ts","Test navigation side menu scenarios.","","","Assert menu item All Items consistency.",""
"passed","Thu Oct 17 14:53:45 GMT 2024","Thu Oct 17 14:53:45 GMT 2024","789","firefox","product-details.spec.ts","Test product page functionalities and information.","","","Assert if product description matches with the name in inventory list.",""
"skipped","Thu Oct 17 14:53:28 GMT 2024","Thu Oct 17 14:53:28 GMT 2024","0","chromium","navigation.spec.ts","Test navigation side menu scenarios.","","","Assert if the 'Reset App State' menu option clears the shopping cart and reset the page DOM.",""
"passed","Thu Oct 17 14:53:20 GMT 2024","Thu Oct 17 14:53:21 GMT 2024","438","chromium","navigation.spec.ts","Test navigation side menu scenarios.","","","Assert menu item About consistency.",""
"passed","Thu Oct 17 14:53:28 GMT 2024","Thu Oct 17 14:53:29 GMT 2024","447","chromium","product-details.spec.ts","Test product page functionalities and information.","","","Assert if product name matches with the name in inventory list.",""
"passed","Thu Oct 17 14:53:29 GMT 2024","Thu Oct 17 14:53:30 GMT 2024","439","chromium","product-details.spec.ts","Test product page functionalities and information.","","","Assert if product price matches with the price in inventory list.",""
"passed","Thu Oct 17 14:53:21 GMT 2024","Thu Oct 17 14:53:22 GMT 2024","424","chromium","navigation.spec.ts","Test navigation side menu scenarios.","","","Assert menu item Reset App State consistency.",""
"passed","Thu Oct 17 14:53:17 GMT 2024","Thu Oct 17 14:53:17 GMT 2024","324","chromium","login.spec.ts","Test application login scenarios","","","Test invalid login scenarios with username non_existing_username and password secret_sauce",""
"passed","Thu Oct 17 14:53:33 GMT 2024","Thu Oct 17 14:53:34 GMT 2024","491","firefox","login.spec.ts","Test application login scenarios","","","Test invalid login scenarios with username standard_user and password wrong_password",""
"passed","Thu Oct 17 14:53:34 GMT 2024","Thu Oct 17 14:53:35 GMT 2024","517","firefox","login.spec.ts","Test application login scenarios","","","Test invalid login scenarios with username empty and password empty",""
"passed","Thu Oct 17 14:53:14 GMT 2024","Thu Oct 17 14:53:15 GMT 2024","634","chromium","login.spec.ts","Test application login scenarios","","","Login with a valid user and check if the products page is shown correctly.",""
"passed","Thu Oct 17 14:53:38 GMT 2024","Thu Oct 17 14:53:38 GMT 2024","619","firefox","navigation.spec.ts","Test navigation side menu scenarios.","","","Assert menu item Reset App State consistency.",""
"skipped","Thu Oct 17 14:53:47 GMT 2024","Thu Oct 17 14:53:47 GMT 2024","0","firefox","product-details.spec.ts","Test product page functionalities and information.","","","Assert if ""Reset App State"" function resets the app state inside the product page.",""
"passed","Thu Oct 17 14:53:35 GMT 2024","Thu Oct 17 14:53:35 GMT 2024","512","firefox","login.spec.ts","Test application login scenarios","","","Test invalid login scenarios with username standard_user and password empty",""
"passed","Thu Oct 17 14:53:23 GMT 2024","Thu Oct 17 14:53:24 GMT 2024","1334","chromium","navigation.spec.ts","Test navigation side menu scenarios.","","","Assert if the 'Logout' menu option logs out the user and redirects to login form.",""
"passed","Thu Oct 17 14:53:18 GMT 2024","Thu Oct 17 14:53:18 GMT 2024","326","chromium","login.spec.ts","Test application login scenarios","","","Test invalid login scenarios with username standard_user and password empty",""
"passed","Thu Oct 17 14:53:41 GMT 2024","Thu Oct 17 14:53:44 GMT 2024","3361","firefox","navigation.spec.ts","Test navigation side menu scenarios.","","","Assert if the 'About' menu option is redirecting to the correct website.",""
"passed","Thu Oct 17 14:53:46 GMT 2024","Thu Oct 17 14:53:47 GMT 2024","756","firefox","product-details.spec.ts","Test product page functionalities and information.","","","Assert if ""Remove"" button inside product page removes the added item from shopping cart.",""
"skipped","Thu Oct 17 14:53:44 GMT 2024","Thu Oct 17 14:53:44 GMT 2024","0","firefox","navigation.spec.ts","Test navigation side menu scenarios.","","","Assert if the 'Reset App State' menu option clears the shopping cart and reset the page DOM.",""
"passed","Thu Oct 17 14:53:33 GMT 2024","Thu Oct 17 14:53:33 GMT 2024","533","firefox","login.spec.ts","Test application login scenarios","","","Test invalid login scenarios with username locked_out_user and password secret_sauce",""
"passed","Thu Oct 17 14:53:17 GMT 2024","Thu Oct 17 14:53:17 GMT 2024","362","chromium","login.spec.ts","Test application login scenarios","","","Test invalid login scenarios with username standard_user and password wrong_password",""
"passed","Thu Oct 17 14:53:21 GMT 2024","Thu Oct 17 14:53:21 GMT 2024","414","chromium","navigation.spec.ts","Test navigation side menu scenarios.","","","Assert menu item Logout consistency.",""
"passed","Thu Oct 17 14:53:36 GMT 2024","Thu Oct 17 14:53:37 GMT 2024","614","firefox","navigation.spec.ts","Test navigation side menu scenarios.","","","Assert menu item About consistency.",""
"skipped","Thu Oct 17 14:53:30 GMT 2024","Thu Oct 17 14:53:30 GMT 2024","0","chromium","product-details.spec.ts","Test product page functionalities and information.","","","Assert if ""Reset App State"" function resets the app state inside the product page.",""
"passed","Thu Oct 17 14:53:37 GMT 2024","Thu Oct 17 14:53:38 GMT 2024","628","firefox","navigation.spec.ts","Test navigation side menu scenarios.","","","Assert menu item Logout consistency.",""
"passed","Thu Oct 17 14:53:30 GMT 2024","Thu Oct 17 14:53:30 GMT 2024","519","chromium","product-details.spec.ts","Test product page functionalities and information.","","","Assert if ""Remove"" button inside product page removes the added item from shopping cart.",""
"passed","Thu Oct 17 14:53:34 GMT 2024","Thu Oct 17 14:53:34 GMT 2024","524","firefox","login.spec.ts","Test application login scenarios","","","Test invalid login scenarios with username non_existing_username and password secret_sauce",""
"passed","Thu Oct 17 14:53:22 GMT 2024","Thu Oct 17 14:53:23 GMT 2024","1361","chromium","navigation.spec.ts","Test navigation side menu scenarios.","","","Assert if 'All Items' menu option is working correctly.",""
"passed","Thu Oct 17 14:53:38 GMT 2024","Thu Oct 17 14:53:39 GMT 2024","695","firefox","navigation.spec.ts","Test navigation side menu scenarios.","","","Assert if 'All Items' menu option is working correctly.",""
"passed","Thu Oct 17 14:53:16 GMT 2024","Thu Oct 17 14:53:17 GMT 2024","360","chromium","login.spec.ts","Test application login scenarios","","","Test invalid login scenarios with username locked_out_user and password secret_sauce",""
"passed","Thu Oct 17 14:53:29 GMT 2024","Thu Oct 17 14:53:29 GMT 2024","463","chromium","product-details.spec.ts","Test product page functionalities and information.","","","Assert if product description matches with the name in inventory list.",""
"passed","Thu Oct 17 14:53:18 GMT 2024","Thu Oct 17 14:53:20 GMT 2024","2438","chromium","navigation.spec.ts","Test navigation side menu scenarios.","","","Assert menu item All Items consistency.",""
